recall_Recommend_article,recall_Content_surprise,recall_view_opinion,PID,treatment,article,study,topic_inv_drug_overdose_vlaue_opinion,topic_inv_defend_view_point_drugOverdose,topic_inv_learning_drug_overdose,topic_inv_motivation_gaining_knowledge,att_elic_drug_overdose_opinion_pre,att_elic_combat_drug_priority_pre,att_elic_opinion_on_drug_legalization_pre,att_elic_drug_overdose_opinion_post,att_elic_combat_drug_priority_post,att_elic_opinion_on_drug_legalization_post,gender,race,education,age,race-Comment,education-Comment,gender-Comment,survey_start,study_finish,study_duration,cogref_race,cogref_sheep,cogref_name,cogref_volume,cogref_Superbowl,exclude
Extremely,A lot,A lot,74376661d9ca,txt,population,two,A lot,A lot,Extremely,A lot,Extremely serious problem,High Priority,Neutral,Extremely serious problem,High Priority,Somewhat Oppose,Woman,White/Caucasian/European,Undergraduate,25,,,,1679527385689.0,1679528461178.0,17.92481666666667,First,7,Emily,27,The ground that these football players played on was in horrible conditions and contributed to thee poor performance of both teams during the game.,0
Extremely,A lot,Extremely,74376661d9ca,txt,opioids,two,A lot,A lot,Extremely,A lot,Extremely serious problem,High Priority,Neutral,Extremely serious problem,High Priority,Somewhat Oppose,Woman,White/Caucasian/European,Undergraduate,25,,,,1679527385689.0,1679528461178.0,17.92481666666667,First,7,Emily,27,The ground that these football players played on was in horrible conditions and contributed to thee poor performance of both teams during the game.,0
Moderately,Moderately,Moderately,0e4369b5b9db,visual,drugOverdose,two,A little,A little,Moderately,Moderately,Moderate problem,Moderate Priority,Somewhat Favor,serious problem,High Priority,Strongly Favor,Man,"East Asian e.g. Chinese, Japanese, South-East Asian",Undergraduate,42,,,,1679527388738.0,1679528668996.0,21.337633333333333,second,8,Emily,27,Field conditions affected the game for both sides during the Eagles vs Chiefs game.,0
Moderately,Moderately,Moderately,0e4369b5b9db,visual,population,two,A little,A little,Moderately,Moderately,Moderate problem,Moderate Priority,Somewhat Favor,serious problem,High Priority,Strongly Favor,Man,"East Asian e.g. Chinese, Japanese, South-East Asian",Undergraduate,42,,,,1679527388738.0,1679528668996.0,21.337633333333333,second,8,Emily,27,Field conditions affected the game for both sides during the Eagles vs Chiefs game.,0
Moderately,Moderately,Moderately,0e4369b5b9db,visual,opioids,two,A little,A little,Moderately,Moderately,Moderate problem,Moderate Priority,Somewhat Favor,serious problem,High Priority,Strongly Favor,Man,"East Asian e.g. Chinese, Japanese, South-East Asian",Undergraduate,42,,,,1679527388738.0,1679528668996.0,21.337633333333333,second,8,Emily,27,Field conditions affected the game for both sides during the Eagles vs Chiefs game.,0
Moderately,A little,Moderately,a0623a9a2102,control,drugOverdose,two,Not at All,Moderately,A little,A little,Serious problem,Moderate Priority,Somewhat Favor,serious problem,Moderate Priority,Strongly Favor,Woman,Hispanic/Latino,High School,52,,,,1679527390106.0,1679531431611.0,67.35841666666667,first,eight,Emily,21,Players had trouble playing on the astroturf,1
Moderately,A little,Moderately,a0623a9a2102,control,population,two,Not at All,Moderately,A little,A little,Serious problem,Moderate Priority,Somewhat Favor,serious problem,Moderate Priority,Strongly Favor,Woman,Hispanic/Latino,High School,52,,,,1679527390106.0,1679531431611.0,67.35841666666667,first,eight,Emily,21,Players had trouble playing on the astroturf,1
Moderately,Moderately,Moderately,a0623a9a2102,control,opioids,two,Not at All,Moderately,A little,A little,Serious problem,Moderate Priority,Somewhat Favor,serious problem,Moderate Priority,Strongly Favor,Woman,Hispanic/Latino,High School,52,,,,1679527390106.0,1679531431611.0,67.35841666666667,first,eight,Emily,21,Players had trouble playing on the astroturf,1
Moderately,Moderately,Extremely,d2a5a70cf974,control,population,two,Not at All,A little,Moderately,A lot,Extremely serious problem,High Priority,Strongly Favor,Extremely serious problem,High Priority,Strongly Favor,Woman,African American/Black,Undergraduate,52,,,,1679527394933.0,1679528628976.0,20.56738333333333,2,8,Emily,0,"The turf was horrible, but since both teams had to play on it, it was not a deciding factor in the game.",0
A lot,A little,Extremely,d2a5a70cf974,control,opioids,two,Not at All,A little,Moderately,A lot,Extremely serious problem,High Priority,Strongly Favor,Extremely serious problem,High Priority,Strongly Favor,Woman,African American/Black,Undergraduate,52,,,,1679527394933.0,1679528628976.0,20.56738333333333,2,8,Emily,0,"The turf was horrible, but since both teams had to play on it, it was not a deciding factor in the game.",0
Moderately,Moderately,A lot,c957bc0fb9c9,txt,drugOverdose,two,A little,A little,A little,Moderately,Moderate problem,Moderate Priority,Strongly Favor,serious problem,High Priority,Somewhat Favor,Man,White/Caucasian/European,High School,31,,,,1679527399018.0,1679528311481.0,15.207716666666666,second,8,Emily,3,Poor turf had an impact on perfromance during the Super Bowl.,0
Moderately,A lot,A lot,c957bc0fb9c9,txt,population,two,A little,A little,A little,Moderately,Moderate problem,Moderate Priority,Strongly Favor,serious problem,High Priority,Somewhat Favor,Man,White/Caucasian/European,High School,31,,,,1679527399018.0,1679528311481.0,15.207716666666666,second,8,Emily,3,Poor turf had an impact on perfromance during the Super Bowl.,0
Moderately,Moderately,Moderately,c957bc0fb9c9,txt,opioids,two,A little,A little,A little,Moderately,Moderate problem,Moderate Priority,Strongly Favor,serious problem,High Priority,Somewhat Favor,Man,White/Caucasian/European,High School,31,,,,1679527399018.0,1679528311481.0,15.207716666666666,second,8,Emily,3,Poor turf had an impact on perfromance during the Super Bowl.,0
Moderately,A lot,A little,58f1ac26b412,visual,drugOverdose,two,A little,A little,A little,A little,Serious problem,Low Priority,Somewhat Oppose,serious problem,Neutral,Somewhat Oppose,Man,"East Asian e.g. Chinese, Japanese, South-East Asian",Undergraduate,22,,,,1679527399360.0,1679528390985.0,16.527083333333334,second,8,June,27 cubic feet,Players were dissatisfied with the slippery field they played in Arizona for the NFL.,0
Moderately,A little,A little,58f1ac26b412,visual,population,two,A little,A little,A little,A little,Serious problem,Low Priority,Somewhat Oppose,serious problem,Neutral,Somewhat Oppose,Man,"East Asian e.g. Chinese, Japanese, South-East Asian",Undergraduate,22,,,,1679527399360.0,1679528390985.0,16.527083333333334,second,8,June,27 cubic feet,Players were dissatisfied with the slippery field they played in Arizona for the NFL.,0
Moderately,Moderately,A little,58f1ac26b412,visual,opioids,two,A little,A little,A little,A little,Serious problem,Low Priority,Somewhat Oppose,serious problem,Neutral,Somewhat Oppose,Man,"East Asian e.g. Chinese, Japanese, South-East Asian",Undergraduate,22,,,,1679527399360.0,1679528390985.0,16.527083333333334,second,8,June,27 cubic feet,Players were dissatisfied with the slippery field they played in Arizona for the NFL.,0
Extremely,A lot,A lot,c817c3891f84,visual,drugOverdose,two,Moderately,Moderately,A lot,A lot,Serious problem,Moderate Priority,Strongly Favor,Extremely serious problem,Moderate Priority,Strongly Favor,other,White/Caucasian/European,High School,22,,,nonbinary,1679527402193.0,1679529520190.0,35.29995,first,eight,emily ,0,Both the Eagles and the Chiefs were unable to play their best due to slippery field conditions. ,0
A lot,Extremely,A lot,c817c3891f84,visual,population,two,Moderately,Moderately,A lot,A lot,Serious problem,Moderate Priority,Strongly Favor,Extremely serious problem,Moderate Priority,Strongly Favor,other,White/Caucasian/European,High School,22,,,nonbinary,1679527402193.0,1679529520190.0,35.29995,first,eight,emily ,0,Both the Eagles and the Chiefs were unable to play their best due to slippery field conditions. ,0
A lot,A lot,A lot,c817c3891f84,visual,opioids,two,Moderately,Moderately,A lot,A lot,Serious problem,Moderate Priority,Strongly Favor,Extremely serious problem,Moderate Priority,Strongly Favor,other,White/Caucasian/European,High School,22,,,nonbinary,1679527402193.0,1679529520190.0,35.29995,first,eight,emily ,0,Both the Eagles and the Chiefs were unable to play their best due to slippery field conditions. ,0
A little,A little,Moderately,907e14ab7577,txt,drugOverdose,two,Moderately,Moderately,A little,A lot,Serious problem,Moderate Priority,Neutral,serious problem,Moderate Priority,Neutral,Man,other,Undergraduate,47,White / East Asian American,,,1679527403747.0,1679528376343.0,16.209933333333332,2,8,emily,27,"During the Super Bowl the field conditions were not as good as would be expected, potentially affecting the Eagles defensive unit.",0
A little,A little,Moderately,907e14ab7577,txt,population,two,Moderately,Moderately,A little,A lot,Serious problem,Moderate Priority,Neutral,serious problem,Moderate Priority,Neutral,Man,other,Undergraduate,47,White / East Asian American,,,1679527403747.0,1679528376343.0,16.209933333333332,2,8,emily,27,"During the Super Bowl the field conditions were not as good as would be expected, potentially affecting the Eagles defensive unit.",0
Moderately,A little,Moderately,907e14ab7577,txt,opioids,two,Moderately,Moderately,A little,A lot,Serious problem,Moderate Priority,Neutral,serious problem,Moderate Priority,Neutral,Man,other,Undergraduate,47,White / East Asian American,,,1679527403747.0,1679528376343.0,16.209933333333332,2,8,emily,27,"During the Super Bowl the field conditions were not as good as would be expected, potentially affecting the Eagles defensive unit.",0
A lot,Not at All,Extremely,75f2e4103ad0,visual,drugOverdose,two,A lot,A lot,Moderately,Moderately,Extremely serious problem,High Priority,Somewhat Oppose,Extremely serious problem,High Priority,Somewhat Oppose,Woman,African American/Black,High School,42,,,,1679527413790.0,1679528081323.0,11.12555,First ,8,June,9,Poor turf caused issues in a NFL game ,0
A lot,Not at All,A lot,75f2e4103ad0,visual,population,two,A lot,A lot,Moderately,Moderately,Extremely serious problem,High Priority,Somewhat Oppose,Extremely serious problem,High Priority,Somewhat Oppose,Woman,African American/Black,High School,42,,,,1679527413790.0,1679528081323.0,11.12555,First ,8,June,9,Poor turf caused issues in a NFL game ,0
A lot,Not at All,A little,75f2e4103ad0,visual,opioids,two,A lot,A lot,Moderately,Moderately,Extremely serious problem,High Priority,Somewhat Oppose,Extremely serious problem,High Priority,Somewhat Oppose,Woman,African American/Black,High School,42,,,,1679527413790.0,1679528081323.0,11.12555,First ,8,June,9,Poor turf caused issues in a NFL game ,0
A lot,A lot,Extremely,38e3de928fc2,txt,drugOverdose,two,Moderately,A little,A lot,A lot,Extremely serious problem,High Priority,Strongly Oppose,Extremely serious problem,High Priority,Strongly Oppose,Woman,White/Caucasian/European,Undergraduate,72,,,,1679527420031.0,1679531243332.0,63.72168333333333,Second,8,June,37,"Both teams at the Super Bowl had difficulty playing on the turf, but the Eagles did not think the field condition decided the game.",1
Moderately,A lot,A lot,38e3de928fc2,txt,population,two,Moderately,A little,A lot,A lot,Extremely serious problem,High Priority,Strongly Oppose,Extremely serious problem,High Priority,Strongly Oppose,Woman,White/Caucasian/European,Undergraduate,72,,,,1679527420031.0,1679531243332.0,63.72168333333333,Second,8,June,37,"Both teams at the Super Bowl had difficulty playing on the turf, but the Eagles did not think the field condition decided the game.",1
A lot,A lot,Extremely,38e3de928fc2,txt,opioids,two,Moderately,A little,A lot,A lot,Extremely serious problem,High Priority,Strongly Oppose,Extremely serious problem,High Priority,Strongly Oppose,Woman,White/Caucasian/European,Undergraduate,72,,,,1679527420031.0,1679531243332.0,63.72168333333333,Second,8,June,37,"Both teams at the Super Bowl had difficulty playing on the turf, but the Eagles did not think the field condition decided the game.",1
A lot,A lot,A lot,13070416c396,visual,drugOverdose,two,A little,A little,A lot,A lot,Serious problem,Moderate Priority,Strongly Favor,Extremely serious problem,High Priority,Somewhat Favor,Man,White/Caucasian/European,Undergraduate,67,,,,1679527429020.0,1679528915862.0,24.7807,second,8,Emily,9,There were problems with the turf in the Super Bowl that made it difficult for both teams to play. ,0
A lot,A little,A lot,13070416c396,visual,population,two,A little,A little,A lot,A lot,Serious problem,Moderate Priority,Strongly Favor,Extremely serious problem,High Priority,Somewhat Favor,Man,White/Caucasian/European,Undergraduate,67,,,,1679527429020.0,1679528915862.0,24.7807,second,8,Emily,9,There were problems with the turf in the Super Bowl that made it difficult for both teams to play. ,0
Extremely,A lot,A lot,13070416c396,visual,opioids,two,A little,A little,A lot,A lot,Serious problem,Moderate Priority,Strongly Favor,Extremely serious problem,High Priority,Somewhat Favor,Man,White/Caucasian/European,Undergraduate,67,,,,1679527429020.0,1679528915862.0,24.7807,second,8,Emily,9,There were problems with the turf in the Super Bowl that made it difficult for both teams to play. ,0
A lot,A little,Moderately,4b90ea47b55c,control,drugOverdose,two,Moderately,Moderately,A lot,A lot,Moderate problem,Neutral,Somewhat Favor,Moderate problem,Moderate Priority,Somewhat Favor,Man,White/Caucasian/European,Undergraduate,26,,,,1679527430686.0,1679528153268.0,12.043033333333334,second,eight ,June,27 cubic feet,The turf that was played on during the superbowl caused problems for the players and contention about how the Cheifs won.,0
Moderately,A lot,A lot,4b90ea47b55c,control,population,two,Moderately,Moderately,A lot,A lot,Moderate problem,Neutral,Somewhat Favor,Moderate problem,Moderate Priority,Somewhat Favor,Man,White/Caucasian/European,Undergraduate,26,,,,1679527430686.0,1679528153268.0,12.043033333333334,second,eight ,June,27 cubic feet,The turf that was played on during the superbowl caused problems for the players and contention about how the Cheifs won.,0
Moderately,Moderately,Moderately,4b90ea47b55c,control,opioids,two,Moderately,Moderately,A lot,A lot,Moderate problem,Neutral,Somewhat Favor,Moderate problem,Moderate Priority,Somewhat Favor,Man,White/Caucasian/European,Undergraduate,26,,,,1679527430686.0,1679528153268.0,12.043033333333334,second,eight ,June,27 cubic feet,The turf that was played on during the superbowl caused problems for the players and contention about how the Cheifs won.,0
Moderately,A little,Moderately,d4859a1bce05,control,drugOverdose,two,Moderately,Not at All,Not at All,Not at All,Serious problem,Moderate Priority,Somewhat Favor,serious problem,Moderate Priority,Somewhat Favor,Woman,White/Caucasian/European,High School,53,,,,1679527431478.0,1679528419645.0,16.46945,first,7,Emily,27,The field was icy on game day for the Eagles and the Chiefs.,0
Moderately,A little,A little,d4859a1bce05,control,population,two,Moderately,Not at All,Not at All,Not at All,Serious problem,Moderate Priority,Somewhat Favor,serious problem,Moderate Priority,Somewhat Favor,Woman,White/Caucasian/European,High School,53,,,,1679527431478.0,1679528419645.0,16.46945,first,7,Emily,27,The field was icy on game day for the Eagles and the Chiefs.,0
A little,A little,A little,d4859a1bce05,control,opioids,two,Moderately,Not at All,Not at All,Not at All,Serious problem,Moderate Priority,Somewhat Favor,serious problem,Moderate Priority,Somewhat Favor,Woman,White/Caucasian/European,High School,53,,,,1679527431478.0,1679528419645.0,16.46945,first,7,Emily,27,The field was icy on game day for the Eagles and the Chiefs.,0
Moderately,A lot,A lot,c73929cc89e1,txt,drugOverdose,two,Moderately,Not at All,A little,Not at All,Extremely serious problem,High Priority,Strongly Favor,Extremely serious problem,High Priority,Somewhat Favor,Woman,White/Caucasian/European,Undergraduate,62,,,,1679527432055.0,1679528705928.0,21.23121666666667,2,8,Emily,0,"The turf was a major factor adversely impacting game play, but it was not the reason that the Chiefs won.",0
Moderately,A lot,A lot,c73929cc89e1,txt,population,two,Moderately,Not at All,A little,Not at All,Extremely serious problem,High Priority,Strongly Favor,Extremely serious problem,High Priority,Somewhat Favor,Woman,White/Caucasian/European,Undergraduate,62,,,,1679527432055.0,1679528705928.0,21.23121666666667,2,8,Emily,0,"The turf was a major factor adversely impacting game play, but it was not the reason that the Chiefs won.",0
Moderately,Moderately,A lot,c73929cc89e1,txt,opioids,two,Moderately,Not at All,A little,Not at All,Extremely serious problem,High Priority,Strongly Favor,Extremely serious problem,High Priority,Somewhat Favor,Woman,White/Caucasian/European,Undergraduate,62,,,,1679527432055.0,1679528705928.0,21.23121666666667,2,8,Emily,0,"The turf was a major factor adversely impacting game play, but it was not the reason that the Chiefs won.",0
Extremely,A lot,A lot,00007a5d37de,txt,opioids,two,Extremely,Extremely,Extremely,Extremely,Extremely serious problem,High Priority,Strongly Favor,Extremely serious problem,High Priority,Somewhat Favor,Man,White/Caucasian/European,High School,36,,,,1679527434253.0,1679528823098.0,23.14741666666667,first,8,June,27,I watched the game and yes for it to be the NFL a ten billion dollar plus company this should have not been an issue. I thought this ruined the game in a way.,0
Moderately,Not at All,A little,69bd85b02f4f,control,drugOverdose,two,A lot,Moderately,A little,Moderately,Moderate problem,Neutral,Neutral,Moderate problem,Moderate Priority,Strongly Oppose,Man,White/Caucasian/European,Undergraduate,30,,,,1679527438488.0,1679527976729.0,8.970683333333334,first,8,emily,27,Field conditions are poor. ,0
A little,Not at All,Not at All,69bd85b02f4f,control,population,two,A lot,Moderately,A little,Moderately,Moderate problem,Neutral,Neutral,Moderate problem,Moderate Priority,Strongly Oppose,Man,White/Caucasian/European,Undergraduate,30,,,,1679527438488.0,1679527976729.0,8.970683333333334,first,8,emily,27,Field conditions are poor. ,0
A little,A little,A little,69bd85b02f4f,control,opioids,two,A lot,Moderately,A little,Moderately,Moderate problem,Neutral,Neutral,Moderate problem,Moderate Priority,Strongly Oppose,Man,White/Caucasian/European,Undergraduate,30,,,,1679527438488.0,1679527976729.0,8.970683333333334,first,8,emily,27,Field conditions are poor. ,0
Extremely,Extremely,Extremely,4dd7272046c2,control,opioids,two,A lot,A lot,A lot,A lot,Extremely serious problem,High Priority,Strongly Favor,Extremely serious problem,High Priority,Somewhat Favor,Woman,White/Caucasian/European,other,63,,associates,,1679527445510.0,1679529139279.0,28.22948333333333,2,8,emily,27,the grass on the nfl field was not the best the players said,0
A lot,Moderately,Extremely,df307fd27473,control,drugOverdose,two,A lot,Moderately,A lot,Extremely,Extremely serious problem,High Priority,Somewhat Favor,Extremely serious problem,High Priority,Somewhat Favor,Woman,White/Caucasian/European,Undergraduate,41,,,,1679527445805.0,1679527973985.0,8.803,2,8,June,27,"The Eagles had 70 sacks in the regular season and none Sunday, but the field conditions slowed down their pass rushers.",0
Moderately,Moderately,A lot,df307fd27473,control,population,two,A lot,Moderately,A lot,Extremely,Extremely serious problem,High Priority,Somewhat Favor,Extremely serious problem,High Priority,Somewhat Favor,Woman,White/Caucasian/European,Undergraduate,41,,,,1679527445805.0,1679527973985.0,8.803,2,8,June,27,"The Eagles had 70 sacks in the regular season and none Sunday, but the field conditions slowed down their pass rushers.",0
A lot,A lot,A lot,df307fd27473,control,opioids,two,A lot,Moderately,A lot,Extremely,Extremely serious problem,High Priority,Somewhat Favor,Extremely serious problem,High Priority,Somewhat Favor,Woman,White/Caucasian/European,Undergraduate,41,,,,1679527445805.0,1679527973985.0,8.803,2,8,June,27,"The Eagles had 70 sacks in the regular season and none Sunday, but the field conditions slowed down their pass rushers.",0
A little,Not at All,Moderately,c899cff61165,txt,drugOverdose,two,Moderately,A little,A little,A little,Serious problem,Moderate Priority,Somewhat Favor,serious problem,Moderate Priority,Somewhat Favor,Woman,White/Caucasian/European,other,35,,Associates,,1679527451008.0,1679528934065.0,24.717616666666668,2nd,8,June,27,It's about field conditions during a football game. ,0
A little,Not at All,A little,c899cff61165,txt,population,two,Moderately,A little,A little,A little,Serious problem,Moderate Priority,Somewhat Favor,serious problem,Moderate Priority,Somewhat Favor,Woman,White/Caucasian/European,other,35,,Associates,,1679527451008.0,1679528934065.0,24.717616666666668,2nd,8,June,27,It's about field conditions during a football game. ,0
A little,Not at All,A little,c899cff61165,txt,opioids,two,Moderately,A little,A little,A little,Serious problem,Moderate Priority,Somewhat Favor,serious problem,Moderate Priority,Somewhat Favor,Woman,White/Caucasian/European,other,35,,Associates,,1679527451008.0,1679528934065.0,24.717616666666668,2nd,8,June,27,It's about field conditions during a football game. ,0
Moderately,Not at All,A little,a8ac7dbdd7a6,control,drugOverdose,two,A little,Moderately,Moderately,A lot,Serious problem,Moderate Priority,Strongly Favor,serious problem,High Priority,Somewhat Favor,Man,"East Asian e.g. Chinese, Japanese, South-East Asian",other,32,,Some College,,1679527453780.0,1679528164457.0,11.844616666666669,First,7,June,27 ft,"During the football game, the field conditions slowed down the players.",0
Moderately,Moderately,A little,a8ac7dbdd7a6,control,population,two,A little,Moderately,Moderately,A lot,Serious problem,Moderate Priority,Strongly Favor,serious problem,High Priority,Somewhat Favor,Man,"East Asian e.g. Chinese, Japanese, South-East Asian",other,32,,Some College,,1679527453780.0,1679528164457.0,11.844616666666669,First,7,June,27 ft,"During the football game, the field conditions slowed down the players.",0
Moderately,Moderately,Moderately,a8ac7dbdd7a6,control,opioids,two,A little,Moderately,Moderately,A lot,Serious problem,Moderate Priority,Strongly Favor,serious problem,High Priority,Somewhat Favor,Man,"East Asian e.g. Chinese, Japanese, South-East Asian",other,32,,Some College,,1679527453780.0,1679528164457.0,11.844616666666669,First,7,June,27 ft,"During the football game, the field conditions slowed down the players.",0
A lot,Extremely,A lot,36c08c4484cd,visual,drugOverdose,two,Moderately,Moderately,A lot,A lot,Serious problem,Moderate Priority,Neutral,serious problem,High Priority,Neutral,Woman,White/Caucasian/European,High School,30,,,,1679527455935.0,1679528408392.0,15.874283333333333,Second,8,June,9,"The Eagles had a harder time performing on the field and the Chiefs won the game, and players were frustrated because the NFL should invest in higher quality playing fields.",0
A lot,A little,Moderately,36c08c4484cd,visual,population,two,Moderately,Moderately,A lot,A lot,Serious problem,Moderate Priority,Neutral,serious problem,High Priority,Neutral,Woman,White/Caucasian/European,High School,30,,,,1679527455935.0,1679528408392.0,15.874283333333333,Second,8,June,9,"The Eagles had a harder time performing on the field and the Chiefs won the game, and players were frustrated because the NFL should invest in higher quality playing fields.",0
A lot,Extremely,Extremely,36c08c4484cd,visual,opioids,two,Moderately,Moderately,A lot,A lot,Serious problem,Moderate Priority,Neutral,serious problem,High Priority,Neutral,Woman,White/Caucasian/European,High School,30,,,,1679527455935.0,1679528408392.0,15.874283333333333,Second,8,June,9,"The Eagles had a harder time performing on the field and the Chiefs won the game, and players were frustrated because the NFL should invest in higher quality playing fields.",0
A little,Moderately,A lot,d4a5bcc24fb2,txt,drugOverdose,two,Not at All,Not at All,A little,Not at All,Serious problem,Moderate Priority,Strongly Favor,serious problem,Moderate Priority,Strongly Favor,Woman,White/Caucasian/European,High School,49,,,,1679527466556.0,1679528530268.0,17.728533333333335,second,8,Emily,0,The Eagles complained that the state of the turf on the playing field in a big game made things more difficult for players.,0
A little,Moderately,Moderately,d4a5bcc24fb2,txt,population,two,Not at All,Not at All,A little,Not at All,Serious problem,Moderate Priority,Strongly Favor,serious problem,Moderate Priority,Strongly Favor,Woman,White/Caucasian/European,High School,49,,,,1679527466556.0,1679528530268.0,17.728533333333335,second,8,Emily,0,The Eagles complained that the state of the turf on the playing field in a big game made things more difficult for players.,0
A little,Moderately,Moderately,d4a5bcc24fb2,txt,opioids,two,Not at All,Not at All,A little,Not at All,Serious problem,Moderate Priority,Strongly Favor,serious problem,Moderate Priority,Strongly Favor,Woman,White/Caucasian/European,High School,49,,,,1679527466556.0,1679528530268.0,17.728533333333335,second,8,Emily,0,The Eagles complained that the state of the turf on the playing field in a big game made things more difficult for players.,0
Moderately,A little,Extremely,9cae96dffcb4,control,drugOverdose,two,Extremely,A lot,Extremely,Extremely,Extremely serious problem,High Priority,Neutral,Extremely serious problem,High Priority,Somewhat Oppose,Man,White/Caucasian/European,other,28,,One year of college before learning a trade.,,1679527468267.0,1679528511960.0,17.394883333333333,First,8,Emily,27,"The condition of this turf, may have had an effect on the outcome of the game by changing the teams ability to play",0
A lot,Moderately,Extremely,9cae96dffcb4,control,population,two,Extremely,A lot,Extremely,Extremely,Extremely serious problem,High Priority,Neutral,Extremely serious problem,High Priority,Somewhat Oppose,Man,White/Caucasian/European,other,28,,One year of college before learning a trade.,,1679527468267.0,1679528511960.0,17.394883333333333,First,8,Emily,27,"The condition of this turf, may have had an effect on the outcome of the game by changing the teams ability to play",0
A lot,A lot,Extremely,9cae96dffcb4,control,opioids,two,Extremely,A lot,Extremely,Extremely,Extremely serious problem,High Priority,Neutral,Extremely serious problem,High Priority,Somewhat Oppose,Man,White/Caucasian/European,other,28,,One year of college before learning a trade.,,1679527468267.0,1679528511960.0,17.394883333333333,First,8,Emily,27,"The condition of this turf, may have had an effect on the outcome of the game by changing the teams ability to play",0
Moderately,Moderately,Extremely,97ac4a34c5b3,control,population,two,A lot,Moderately,Moderately,A lot,Serious problem,Moderate Priority,Somewhat Favor,Extremely serious problem,High Priority,Neutral,Woman,White/Caucasian/European,Undergraduate,31,,,,1679527469169.0,1679528418021.0,15.8142,second,8,emily,3,the field during the superbowl was subpar ,0
A lot,A lot,Extremely,97ac4a34c5b3,control,opioids,two,A lot,Moderately,Moderately,A lot,Serious problem,Moderate Priority,Somewhat Favor,Extremely serious problem,High Priority,Neutral,Woman,White/Caucasian/European,Undergraduate,31,,,,1679527469169.0,1679528418021.0,15.8142,second,8,emily,3,the field during the superbowl was subpar ,0
Moderately,A little,A lot,419ced2961fa,visual,drugOverdose,two,Not at All,Not at All,A little,Extremely,Extremely serious problem,Neutral,Strongly Favor,Extremely serious problem,Neutral,Strongly Favor,Man,White/Caucasian/European,High School,31,,,,1679527470617.0,1679528162723.0,11.5351,Second,8,Emily,0,"The field condition during the Super Bowl was trash causing players to slip, Eagles said they don't want to use the field as an excuse and the Chiefs deserved to win but it was an issue.",0
Moderately,Moderately,A lot,419ced2961fa,visual,population,two,Not at All,Not at All,A little,Extremely,Extremely serious problem,Neutral,Strongly Favor,Extremely serious problem,Neutral,Strongly Favor,Man,White/Caucasian/European,High School,31,,,,1679527470617.0,1679528162723.0,11.5351,Second,8,Emily,0,"The field condition during the Super Bowl was trash causing players to slip, Eagles said they don't want to use the field as an excuse and the Chiefs deserved to win but it was an issue.",0
Moderately,Moderately,A lot,419ced2961fa,visual,opioids,two,Not at All,Not at All,A little,Extremely,Extremely serious problem,Neutral,Strongly Favor,Extremely serious problem,Neutral,Strongly Favor,Man,White/Caucasian/European,High School,31,,,,1679527470617.0,1679528162723.0,11.5351,Second,8,Emily,0,"The field condition during the Super Bowl was trash causing players to slip, Eagles said they don't want to use the field as an excuse and the Chiefs deserved to win but it was an issue.",0
Extremely,A little,A lot,bfa66df04936,txt,drugOverdose,two,Moderately,Moderately,Moderately,A lot,Serious problem,Moderate Priority,Somewhat Favor,Extremely serious problem,Moderate Priority,Neutral,Woman,White/Caucasian/European,other,27,,AA,,1679527471320.0,1679528459810.0,16.474833333333333,first ,seven,june,twenty seven,The eagles and other team where both effect by the turf not being good quality and slick. The players on the eagles where very disapointed ,0
Extremely,A little,Extremely,bfa66df04936,txt,population,two,Moderately,Moderately,Moderately,A lot,Serious problem,Moderate Priority,Somewhat Favor,Extremely serious problem,Moderate Priority,Neutral,Woman,White/Caucasian/European,other,27,,AA,,1679527471320.0,1679528459810.0,16.474833333333333,first ,seven,june,twenty seven,The eagles and other team where both effect by the turf not being good quality and slick. The players on the eagles where very disapointed ,0
Extremely,A little,Extremely,bfa66df04936,txt,opioids,two,Moderately,Moderately,Moderately,A lot,Serious problem,Moderate Priority,Somewhat Favor,Extremely serious problem,Moderate Priority,Neutral,Woman,White/Caucasian/European,other,27,,AA,,1679527471320.0,1679528459810.0,16.474833333333333,first ,seven,june,twenty seven,The eagles and other team where both effect by the turf not being good quality and slick. The players on the eagles where very disapointed ,0
Extremely,Extremely,Extremely,f8d3dcdb0201,control,drugOverdose,two,Moderately,A lot,Extremely,A lot,Extremely serious problem,High Priority,Strongly Favor,Extremely serious problem,High Priority,Somewhat Favor,Man,White/Caucasian/European,High School,40,,,,1679527473113.0,1679528333566.0,14.340883333333334,second,8,Emily,9,Eagles didnt want to blame their game on the field conditions.,0
Extremely,Extremely,Extremely,f8d3dcdb0201,control,population,two,Moderately,A lot,Extremely,A lot,Extremely serious problem,High Priority,Strongly Favor,Extremely serious problem,High Priority,Somewhat Favor,Man,White/Caucasian/European,High School,40,,,,1679527473113.0,1679528333566.0,14.340883333333334,second,8,Emily,9,Eagles didnt want to blame their game on the field conditions.,0
A lot,Extremely,Extremely,f8d3dcdb0201,control,opioids,two,Moderately,A lot,Extremely,A lot,Extremely serious problem,High Priority,Strongly Favor,Extremely serious problem,High Priority,Somewhat Favor,Man,White/Caucasian/European,High School,40,,,,1679527473113.0,1679528333566.0,14.340883333333334,second,8,Emily,9,Eagles didnt want to blame their game on the field conditions.,0
